Supplementary data 2 of Hayakawa et al. (2021, The Astrophysical Journal, 919, 1) 'Stephan Prantner’s Sunspot Observations during the Dalton Minimum'. The sunspot positions have been extracted from MS A07 03 07 in Stiftsarchiv Wilten.

Reference:
Hayakawa et al. (2021) Stephan Prantner’s Sunspot Observations during the Dalton Minimum, The Astrophysical Journal, DOI: 10.3847/1538-4357/abee1b

Abb. Meaning
------------------------------------------------------------------
Folio - Folio number for the said sunspot drawing;
YYYY - Year;
MM - Month;
DD - Date;
HH - Hour of the observational time in local time;
Element - arbitrary number for individual sunspots
BB - Heliographic latitude
LL - Calculated Carrington longitude
AREA - Individual sunspot area (msh)
TOYAL AREA - Total sunspot area for the day (msh)
LCM - Heliographic longitude from the central meridian.

The data blank shows the gap of observational data for the specified observational date.
------------------------------------------------------------------




       Folio        YYYY          MM          DD          HH     ELEMENT          BB          LL        AREA  TOTAL_AREA         LCM
          62        1815          06          09         006         E05      -22.43      134.16         138        3622       -33.7
          62        1815          06          09         006         E06        6.99      140.28         144        3622       -47.1
          62        1815          06          09         006         E07       10.92      130.89         277        3622       -58.2
          62        1815          06          09         006         E08      -19.16      201.76          59        3622        20.1
          62        1815          06          09         006         E09      -15.72      200.09         107        3622        16.5
          62        1815          06          09         006         E10      -18.61      211.69         346        3622        26.9
          63        1815          07          06         006         E01      -12.28      128.40         226        8446       -18.8
          63        1815          07          06         006         E02      -17.27      133.92         105        8446        -3.1
          63        1815          07          06         006         E03      -17.84      140.80         988        8446         1.5
          63        1815          07          06         006         E04       -6.32      137.07         121        8446       -20.4
          63        1815          07          06         006         E05      -21.94      146.60         226        8446        10.5
          63        1815          07          06         006         E06       -7.83      145.82         137        8446       -11.3
          63        1815          07          06         006         E07       14.41      175.98          84        8446       -17.7
          63        1815          07          06         006         E08       15.02      185.16          66        8446       -14.2
          63        1815          07          06         006         E09       58.27      150.27          14        8446       -64.4
          63        1815          07          06         006         E10      -18.52      208.83         351        8446        25.9
          63        1815          07          06         006         E11       -3.77      212.20         467        8446        13.8
          63        1815          07          06         006         E12       -1.00      211.15         158        8446        10.8
          63        1815          07          06         006         E13       -2.95      247.48         792        8446        33.3
          63        1815          07          06         006         E14       18.75      243.21         462        8446         1.8
          63        1815          07          06         006         E15       15.34      251.87        2679        8446        11.1
          63        1815          07          06         006         E16        8.79      254.69        1570        8446        24.1
          64        1815          07          13         006         E01        2.17       74.63          11        2785       -10.8
          64        1815          07          13         006         E02        4.18       76.58         893        2785       -11.6
          64        1815          07          13         006         E03        7.37       82.40         396        2785       -11.6
          64        1815          07          13         006         E04        9.81       88.49         170        2785       -10.9
          64        1815          07          13         006         E05        9.53       92.38         158        2785        -8.9
          64        1815          07          13         006         E06       -3.76      124.91         510        2785        17.4
          64        1815          07          13         006         E07       -9.58      143.67         488        2785        33.5
          64        1815          07          13         006         E08       -7.09      144.30         159        2785        31.5
          65        1815          07          29         017         E01       12.57      199.35         159         596       -45.1
          65        1815          07          29         017         E02       15.20      194.81         437         596       -50.8
          65        1815          07          31         008         E01       15.61      192.84         877         955       -29.4
          65        1815          07          31         008         E02       15.19      197.49          78         955       -25.5
          65        1815          08          01         999         E01       18.26      194.33          74          74       -20.2
          65        1815          08          02         999         E01       18.64      192.60          68          68       -12.7
          65        1815          08          03         999         E01       18.99      195.48          79          79        -2.6
          65        1815          08          04         999         E01       18.66      194.65         114         114         5.8
          65        1815          08          05         999         E01       18.13      193.14          82          82        14.4
          66        1815          08          10         999         E01        9.21       14.62        1025        1025       -76.3
          66        1815          08          12         999         E01       12.35       11.87         448         448       -53.2
          66        1815          08          15         999         E01       14.66       16.75         582         582       -10.0
          66        1815          08          16         999         E01       14.61       19.07         589         589         5.0
          66        1815          08          18         999         E01       18.79      374.63         956         956        23.9
          66        1815          08          22         006         E01       16.71      361.13        1084        1076        64.8
          67        1815          08          22         999         E01       15.59      218.58        1069        1076       -73.1
          68        1815          09          11         999         E01       16.36        0.26         315         635       -29.0
          68        1815          09          11         999         E02       18.76       17.37         320         635       -15.9
          68        1815          09          12         999         E01       14.16       12.72         100         100        -5.7
          68        1815          09          13         999         E01       10.96       11.93          72          72         6.7
          68        1815          09          15         999         E01        7.40      372.24         125         125        29.9
          69        1815          09          26         013         E01       18.46      213.54        1382        2891        17.1
          69        1815          09          26         013         E02       15.68      220.53         403        2891        24.7
          69        1815          09          26         013         E03       12.29      232.48         389        2891        37.4
          69        1815          09          26         013         E04       21.09      222.54         333        2891        24.6
          69        1815          09          26         013         E05       20.54      230.57         384        2891        32.6
          70        1815          09          29         012         E01       39.35      127.44        3122        6914       -22.2
          70        1815          09          29         012         E02       39.70      142.05        3792        6914        -8.7
          71        1815          11          23         013         E01      -15.94      156.12          46         934        14.4
